1722003421.40000	-0.29174	0.05596	9.73253
1722003421.45000	-0.29174	0.05596	9.73253
1722003421.50000	-0.29174	0.05596	9.73253
1722003421.55000	-0.29174	0.05596	9.73253
1722003421.60000	-0.29174	0.05596	9.73253
1722003421.65000	-0.29174	0.05596	9.73253
1722003421.70000	-0.29174	0.05596	9.73253
1722003421.75000	-0.29174	0.05596	9.73253
1722003421.80000	-0.29174	0.05596	9.73253
1722003421.85000	-0.29174	0.05596	9.73253
1722003421.90000	-0.29174	0.05596	9.73253
1722003421.95000	-0.29174	0.05596	9.73253
1722003422.00000	-0.29174	0.05596	9.73253
1722003422.05000	-0.29174	0.05596	9.73253
1722003422.10000	-0.29174	0.05596	9.73253
1722003422.15000	-0.29174	0.05596	9.73253
1722003422.20000	-0.29174	0.05596	9.73253
1722003422.25000	-0.29174	0.05596	9.73253
1722003422.30000	-0.29174	0.05596	9.73253
1722003422.35000	-0.29174	0.05596	9.73253
1722003422.40000	-0.29174	0.05596	9.73253
1722003422.45000	-0.28216	0.06434	9.81632
1722003422.50000	-0.28216	0.05835	9.79717
1722003422.55000	-0.28576	0.05596	9.80315
1722003422.60000	-0.28695	0.05596	9.79477
1722003422.65000	-0.28815	0.05596	9.79717
1722003422.70000	-0.29414	0.05357	9.79477
1722003422.75000	-0.28216	0.05476	9.78520
1722003422.80000	-0.27738	0.05596	9.77562
1722003422.85000	-0.27618	0.05357	9.78879
1722003422.90000	-0.28216	0.06075	9.79477
1722003422.95000	-0.28456	0.06075	9.80794
1722003423.00000	-0.27259	0.06554	9.79956
1722003423.05000	-0.27977	0.04638	9.80076
1722003423.10000	-0.28456	0.04878	9.80435
1722003423.15000	-0.27857	0.05117	9.80435
1722003423.20000	-0.29653	0.06075	9.79477
1722003423.25000	-0.27738	0.06195	9.80914
1722003423.30000	-0.27977	0.05835	9.80435
1722003423.35000	-0.27498	0.06195	9.79956
1722003423.40000	-0.27259	0.06554	9.80914
1722003423.45000	-0.27977	0.06314	9.80435
1722003423.50000	-0.28695	0.06554	9.80196
1722003423.55000	-0.27618	0.05357	9.79956
1722003423.60000	-0.28216	0.05596	9.80914
1722003423.65000	-0.28815	0.05955	9.80076
1722003423.70000	-0.26301	0.05596	9.80675
1722003423.75000	-0.18759	0.05237	9.80914
1722003423.80000	-0.33005	0.06075	9.80435
1722003423.85000	-0.19238	0.05716	9.80675
1722003423.90000	-0.10260	0.02005	9.81632
1722003423.95000	-0.38272	0.06195	9.80794
1722003424.00000	-0.53116	0.23792	9.81393
1722003424.05000	-0.11089	-0.01611	9.80300
1722003424.10000	-0.35424	0.18598	9.81307
